clip_id,audio_path,source_language,target_language,source_prompt,audio_transcription,speaker_id,duration_seconds,submitted_at,gender,age,user_mother_tongue,tone,fluency,pronunciation,completeness,accuracy,overall_score
clip_8c85ddc0,clips/clip_8c85ddc0.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakadugol nga pribadong hospital?,user_001,5.25,2026-06-25T11:42:22.673Z,m,21,bisaya,normal,95,90,100,95,95
clip_850f494e,clips/clip_850f494e.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakadugol nga pribadong ospital?,user_001,5.25,2026-06-25T11:52:03.997Z,m,21,bisaya,angry,95,90,90,95,92.5
clip_b081978d,clips/clip_b081978d.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakaduol na pribadong ospital?,user_001,4.97,2026-06-25T11:52:48.434Z,m,21,bisaya,angry,90,90,100,100,95
clip_ac88fcc4,clips/clip_ac88fcc4.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakadugol nga pribadong ospital?,user_001,5.25,2026-06-25T11:53:52.789Z,m,21,bisaya,angry,95,90,95,95,94
clip_b8080f78,clips/clip_b8080f78.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakaduol na pribadong ospital?,user_001,4.97,2026-06-25T11:55:13.372Z,m,21,bisaya,soft,95,92,100,100,97
clip_7c760a1a,clips/clip_7c760a1a.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakaduol na pribadong ospital?,user_001,4.97,2026-06-25T12:52:49.687Z,m,21,bisaya,soft,95,90,100,100,96
clip_2d43a1c6,clips/clip_2d43a1c6.mp4,english,bisaya,Where is the nearest private hospital?,Nasaan ang pinakamalapit na pribadong ospital?,0c144dcc-a7f0-442d-9887-30c3eb6a65c1,5.29,2026-06-25T15:35:09.063Z,m,21,bisaya,soft,70,60,90,60,70
clip_efbe52cd,clips/clip_efbe52cd.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakadugol nga pribadong ospital?,0c144dcc-a7f0-442d-9887-30c3eb6a65c1,5.25,2026-06-25T15:43:35.285Z,Male,20,Tagalog,soft,95,90,100,100,96
clip_477f0055,clips/clip_477f0055.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakaduol nga pribadong hospital?,0c144dcc-a7f0-442d-9887-30c3eb6a65c1,5.25,2026-06-25T15:44:16.303Z,Male,20,Tagalog,normal,90,95,100,100,96
clip_f911319e,clips/clip_f911319e.mp4,english,bisaya,Where is the nearest private hospital?,Asa man ang pinakaduol nga pribadong hospital?,0c144dcc-a7f0-442d-9887-30c3eb6a65c1,5.25,2026-06-25T16:47:31.125Z,Male,20,Tagalog,normal,95,95,100,100,97.5
